,Detected,point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
0,True,[ 2.95575689e+02  2.77977333e+02 -1.29209795e-04],[293.67195368 263.13909531  -2.97328728],[303.80388021 243.16512108  -3.07395184],[313.40373158 226.99881077  -3.58184966],[318.23170781 214.27855968  -2.84925607],[324.18875456 236.08366013   2.59120577],[326.34901643 208.9584589   -2.90711258],[317.08126545 202.09709644  -7.51580212],[308.6827755  205.27625084  -9.16582234],[325.46121597 233.75674725   2.47822082],[326.34013295 209.71055031  -0.51081959],[317.237885   203.91623497  -4.27938888],[309.82607245 204.96195316  -6.36168195],[325.32806039 231.82900429   1.35327243],[326.10127687 208.98937225  -1.53121064],[316.74102187 203.15717697  -2.91605188],[309.98298168 203.69988441  -3.0278922 ],[ 3.23190908e+02  2.29994402e+02 -1.57755978e-01],[324.31077361 209.44682121  -1.13847162],[ 3.18155490e+02  2.03002968e+02 -1.45045717e-01],[313.04996967 203.52735043   1.36165563]
1,True,[2.78523760e+02 7.15834579e+02 2.22692417e-03],[ 323.44144821  694.08004761 -203.11312079],[ 330.02738714  639.46157455 -306.33373976],[ 339.23549652  561.51489258 -369.43075418],[ 364.34831142  490.86587906 -430.42100072],[ 212.90433705  504.7942543  -237.35868037],[ 210.35168946  358.78203392 -292.94968843],[ 215.19767404  255.30447006 -335.71899176],[ 217.7947551   174.51936722 -364.93993163],[ 212.65886664  481.17153168 -144.6229291 ],[ 209.16859388  332.15337753 -195.72821617],[ 226.10721052  225.17136097 -242.10330963],[ 241.58050418  142.72999763 -276.82019234],[235.52969813 465.45272827 -58.50016952],[229.22687173 343.58347893 -90.76613009],[ 242.76083171  248.93886566 -135.7345283 ],[ 252.66602039  180.3096199  -170.91637731],[258.63220811 454.0822506   12.96535715],[274.53363061 367.13564873  -5.57712073],[293.88998508 296.25452042 -35.84041715],[310.91671228 241.97193146 -63.01017523]
2,True,[2.74190844e+02 7.09006577e+02 2.19876687e-03],[ 319.84724522  690.97103119 -200.2670449 ],[ 325.54786205  637.98122406 -304.94952679],[ 334.41463351  562.82169342 -368.9595437 ],[ 360.08707523  494.44055557 -431.42650723],[ 212.35801935  509.94541168 -252.95764625],[ 207.98963428  367.0499897  -314.58603859],[ 213.61717165  265.82121849 -359.58953619],[ 217.21047342  186.13898277 -389.92396832],[ 209.26763177  483.2591629  -162.91429639],[ 209.25073385  333.33618164 -223.49612832],[ 226.14881158  223.12231064 -275.44129014],[ 240.11833549  139.11475182 -313.50882053],[229.43204463 466.37781143 -77.60118842],[ 224.77888942  343.70653152 -119.92515922],[ 235.76430559  246.398592   -170.90290725],[ 244.12056684  175.73676109 -209.10191953],[251.27866924 455.28024673  -5.3679743 ],[271.3559854  369.74770546 -31.73172086],[293.62325549 299.08610344 -65.8600089 ],[313.49047422 244.75184441 -95.28262943]
3,True,[2.69114469e+02 7.14855881e+02 2.26421791e-03],[ 322.17239857  689.08481598 -199.97475922],[ 330.94328642  637.53828049 -303.8728559 ],[ 336.82900786  564.68473434 -367.96227694],[ 359.91404057  492.29221344 -430.39834142],[ 212.53166556  506.09893799 -239.73668396],[ 207.83224225  363.40086937 -295.29235125],[ 211.99786842  262.58302689 -337.0243156 ],[ 217.41004586  185.21195412 -364.78533983],[ 208.57504249  483.68780136 -147.73399651],[ 209.19794798  334.97039795 -198.89279366],[ 228.70818615  227.4841404  -245.58981657],[ 249.50891018  142.8367424  -280.52859306],[226.83815002 469.35424805 -61.65907815],[231.27708793 347.3624897  -95.04393429],[ 255.09516835  258.43219757 -143.18934202],[ 276.18199825  193.00191879 -180.3947407 ],[244.42231536 459.19446945  10.67572664],[263.19261789 375.94908714  -9.62114275],[288.92753363 311.67386055 -41.93737462],[314.80529308 264.10926819 -70.29998481]
4,True,[2.76068702e+02 7.14329681e+02 2.22476763e-03],[ 327.43325114  691.25455856 -198.26850414],[ 332.09446907  636.48777008 -301.82714581],[ 334.90837455  562.30218887 -364.01804566],[ 358.41833353  488.27957153 -425.11569858],[ 208.67717028  519.79316711 -258.07393312],[ 211.20892882  384.17152405 -326.42954707],[ 231.45150661  289.43910599 -376.5525341 ],[ 249.70003366  212.51893044 -409.98865128],[ 201.32105649  492.62586594 -173.53186905],[ 202.4088639   344.76662636 -244.53118622],[ 221.88282788  234.01333809 -303.75682354],[ 242.04477847  148.30115318 -346.5694499 ],[216.79246724 474.94937897 -93.90923113],[ 216.38139725  348.06475639 -146.71746612],[ 231.46042228  248.80774498 -202.7311635 ],[ 247.74576545  173.28048706 -243.77716899],[237.48633206 464.37458038 -26.76454604],[257.45381176 374.2764473  -63.79577145],[ 282.13608384  305.58712006 -102.41369516],[ 306.87608242  250.53608894 -134.08066481]
5,True,[2.76543260e+02 7.09992599e+02 2.18088591e-03],[ 323.33085537  690.23574829 -203.18644166],[ 326.00301147  634.55863953 -308.28562617],[ 332.56252527  557.8994751  -373.38827848],[ 357.50990152  488.12742233 -436.08717799],[ 212.41407216  501.82342529 -242.11534739],[ 209.48157549  360.06846428 -299.81825709],[ 213.85971308  256.74714088 -342.78537869],[ 215.89927554  178.2005024  -372.03712106],[ 210.84734559  477.83426285 -150.17717779],[ 210.9386909   330.56430817 -205.06682575],[ 229.46650028  223.39815617 -252.20860183],[ 245.06623864  139.73250389 -287.32059002],[232.70454347 461.88211441 -64.68296036],[235.38827062 344.10504341 -99.90211755],[ 254.80241597  254.55196381 -143.93835425],[ 267.7019155   189.96582985 -178.08296084],[255.0196588  450.69771767   6.1999362 ],[275.27221441 365.89754105 -14.70334914],[296.10106945 296.23723984 -45.55901662],[312.83068299 243.32284927 -73.07173401]
6,True,[2.75265198e+02 7.18084545e+02 2.24610563e-03],[ 329.36344385  690.05773544 -194.01150048],[ 337.11141229  633.8073349  -294.99263048],[ 338.55031013  556.00124359 -356.28839135],[ 363.50093722  480.1017952  -415.74913502],[ 211.42172992  508.48199844 -245.76154768],[ 211.62685454  358.66547585 -308.87151718],[ 219.01019812  256.42930984 -354.69528794],[ 224.66124773  173.22604179 -385.5654645 ],[ 203.44095647  485.53258896 -161.91128433],[ 212.2107017   335.34908295 -227.17264831],[ 231.32298589  224.00051594 -280.54056644],[ 250.82875013  136.11193657 -319.17628527],[218.08861792 471.72263145 -83.24917227],[ 228.06548595  344.94847298 -131.92190766],[ 246.53680801  249.2029953  -182.73925424],[ 265.66183805  176.26173019 -219.64032948],[237.46005177 463.53979111 -17.170619  ],[261.73566341 371.91178322 -50.86384803],[288.81980538 301.5080452  -86.08806252],[ 315.59148073  245.8412075  -114.73152816]
7,True,[2.73070561e+02 7.16223335e+02 2.21562972e-03],[ 327.11083889  690.11152267 -196.30541682],[ 334.61628199  634.03535843 -298.76270056],[ 337.06149101  556.34061813 -361.35277748],[ 361.81175709  477.5057888  -421.80026293],[ 210.20203829  510.59537888 -254.55681682],[ 211.02491856  356.54319763 -323.33729267],[ 218.24929297  251.01385117 -372.17767954],[ 224.2066133   164.9309063  -404.62995172],[ 204.21467185  485.39360046 -171.04167938],[ 212.32296824  332.03338623 -243.4078449 ],[ 232.9735744   217.18468666 -300.33037663],[ 253.8733685   127.29017258 -340.94392419],[220.48149168 469.82834816 -92.58536786],[ 232.65982032  344.17470932 -147.19215274],[ 256.11480474  250.52467346 -199.91460264],[ 279.15168643  180.97457886 -237.13191032],[241.13612115 459.83502388 -26.85035929],[263.64998817 368.94458771 -65.26582181],[ 290.46546936  299.16137695 -102.84898549],[ 317.57165909  245.10749817 -132.51123458]
8,True,[2.69941195e+02 7.07000484e+02 2.27294892e-03],[ 322.37932563  685.87022781 -204.643718  ],[ 326.1806488   630.57935715 -312.15280294],[ 336.39561653  553.7604332  -380.1484108 ],[ 364.73879814  473.22629929 -445.67257762],[ 211.05238974  492.41941452 -239.80641603],[ 206.9775939   345.56917191 -290.46900988],[ 208.73587847  237.75711536 -326.41400099],[ 209.51672316  158.33147049 -350.28351545],[ 210.58161378  472.22891808 -144.20749784],[ 209.18603897  320.29821396 -189.01483476],[ 230.52542031  213.13005924 -229.04356956],[ 250.01945257  127.78738976 -259.54508185],[233.66917312 458.59090805 -54.8524645 ],[237.73811102 338.9644146  -80.22599012],[ 264.31206465  251.71886444 -120.73053807],[ 282.79619694  187.99009323 -153.8204813 ],[255.69562376 447.93210983  19.67565268],[273.51389766 363.3433342    6.40857568],[296.15108728 290.90606689 -22.0789589 ],[313.73280644 235.4982233  -48.70270103]
9,True,[2.68577002e+02 6.57294273e+02 2.20741095e-03],[ 315.4214716   649.24415588 -190.00370085],[ 329.85264659  604.12078857 -302.03825712],[ 334.57701445  545.24957657 -372.96676397],[ 355.88683248  490.12229919 -445.77753782],[ 204.16771173  516.73358917 -282.25488424],[ 210.05882442  428.4657383  -364.30807829],[ 217.83986449  359.69558716 -423.68381739],[ 225.24659157  302.15223312 -463.69814873],[ 195.40433943  473.09380531 -205.73871911],[ 201.17153406  338.03741455 -287.30575204],[ 213.11097443  238.37186337 -348.91021371],[ 224.88565207  153.17533493 -395.13683081],[ 208.50526214  442.41085052 -131.94548428],[ 219.89729047  319.64487076 -198.14563215],[ 243.34384203  227.35148907 -256.7106092 ],[ 267.60896087  153.94715309 -299.31212425],[230.55678606 425.47542572 -67.9855898 ],[ 261.01386487  338.62804413 -117.63084054],[ 292.67687559  274.60504532 -158.86676252],[ 318.43721867  219.66792583 -192.11761415]
10,True,[2.38805737e+02 7.36922150e+02 1.03895392e-03],[ 305.99343181  714.78492737 -202.53273368],[ 317.06417441  643.43193054 -305.23605108],[ 326.75405145  555.3736496  -369.28958416],[ 354.72087622  462.6033783  -429.3422699 ],[ 217.85053432  484.66381073 -243.60397339],[ 208.75792623  337.11942673 -310.42271376],[ 204.04224873  234.96351242 -361.38341904],[ 195.24920046  149.35832977 -398.5456717 ],[ 227.6276207   461.2357235  -154.29252863],[ 217.62545407  293.90828133 -217.54009545],[ 221.15884066  195.26593208 -267.7856487 ],[ 220.61216891  109.88302231 -310.90757132],[249.23574328 443.9009285  -73.99602592],[ 256.58878326  310.82985878 -124.65133756],[ 268.60915661  229.36477661 -171.59894049],[ 269.43763733  163.58530998 -209.39663529],[271.59863949 426.92533493  -8.21925586],[281.3975966  331.45874977 -43.68405998],[296.81252003 268.24378967 -80.28360397],[ 306.40680313  217.11539268 -114.37598795]
11,True,[2.71532464e+02 7.11322060e+02 1.90757182e-03],[ 320.00228763  687.05451965 -197.06994295],[ 324.0290451   630.70976257 -296.33142829],[ 330.06185889  552.43463516 -356.45302534],[ 359.39133167  474.37173843 -412.37077475],[ 202.03809142  498.02444458 -240.9215337 ],[ 202.10347831  341.23612404 -299.94500756],[ 200.72526813  239.96468067 -341.07015967],[ 197.63179064  158.81835938 -368.5525775 ],[ 199.79836106  474.72518921 -154.1611594 ],[ 206.83526516  322.2678566  -211.78083479],[ 226.12912953  215.62035084 -255.38164437],[ 244.5684582   134.09228325 -287.1815443 ],[219.95863795 460.71204185 -74.43995833],[ 237.18841374  337.19378471 -117.24893153],[ 268.05289328  254.78058815 -159.42088544],[ 295.31317592  197.53682613 -189.52067792],[243.20035458 451.4795208   -8.67958881],[264.71289933 359.36516762 -38.39505628],[291.74732924 291.98550224 -70.69546849],[319.4560504  243.28700066 -96.61784649]
12,True,[2.73133389e+02 7.09410610e+02 1.84064470e-03],[ 320.36628485  687.54386902 -196.22757375],[ 325.24608135  629.64717865 -295.33602834],[ 329.83198285  551.96187973 -354.91380215],[ 357.31855273  472.5850296  -410.54428697],[ 201.56202078  501.34500504 -247.3610723 ],[ 201.51345134  345.2315712  -311.76724076],[ 202.84011483  242.97786713 -355.5763936 ],[ 203.89938891  161.29108429 -384.18611169],[ 198.91321599  475.66208839 -161.42544508],[ 207.47405469  321.57800674 -222.67310321],[ 226.80638194  216.47611141 -266.99801266],[ 245.67375898  135.59967041 -299.41850066],[220.84135294 459.60877419 -82.49934733],[ 235.35935104  333.15702438 -129.27817225],[ 261.92136347  247.55421638 -173.4864378 ],[ 287.86611915  186.3057518  -205.29052198],[247.01616168 448.88717651 -17.15697192],[269.82619286 354.80712891 -51.18707702],[296.12704396 287.42732048 -86.42372757],[ 322.93444633  236.50862217 -114.73872989]
13,True,[2.72009854e+02 7.10036087e+02 1.90506940e-03],[ 320.52126288  683.44779968 -193.64203155],[ 323.88658762  626.59744263 -290.93526363],[ 329.66245651  549.36378479 -349.52265859],[ 357.06559896  472.75508881 -403.96530032],[ 200.62883735  501.13964081 -238.06607544],[ 202.37679005  344.36565399 -297.1415627 ],[ 201.7692697   241.53997421 -338.33398461],[ 199.6551311   159.76501465 -366.01634502],[ 197.2881192   478.38191986 -153.18408966],[ 207.22633123  324.98150826 -211.673702  ],[ 229.46730494  217.62409687 -256.19033039],[ 250.47093272  135.50030708 -288.67483735],[216.39304876 465.23712158 -75.07240713],[ 236.76438868  341.56150818 -118.51083577],[ 269.95102823  258.82925034 -161.28507972],[ 299.07458782  201.48469448 -191.84361041],[238.7833035  456.66727066 -10.64401288],[261.67273879 365.90641022 -41.36593133],[289.22570944 298.30006599 -74.60331291],[ 317.66648054  249.20156479 -101.20211452]
14,True,[2.70144356e+02 7.04533310e+02 2.11307452e-03],[ 316.16217971  681.90393448 -200.88161409],[ 322.81741619  623.75764847 -300.5518198 ],[ 331.04966283  547.93144226 -359.91104722],[ 354.8072648   471.77284241 -415.82245588],[ 211.59661531  489.83985901 -237.225734  ],[ 212.25416958  338.48070145 -289.85405445],[ 212.26002753  235.01039028 -327.82022953],[ 211.84042811  155.68616867 -352.94607997],[ 209.87655222  469.30875778 -142.0671916 ],[ 216.91912115  320.18777847 -191.10581517],[ 239.71181989  214.72200394 -232.26286411],[ 261.26248956  134.91800308 -262.4301517 ],[231.46496058 456.6438961  -53.41926366],[244.7948581  341.83662415 -82.47223824],[ 276.97684407  265.26815414 -121.57388896],[ 302.13433385  212.431283   -151.35673285],[251.94874406 447.5849247   20.38906261],[273.99189949 365.96503258   4.55225352],[296.1758709  302.44534492 -24.03317884],[316.99304223 255.57180405 -49.02382985]
15,True,[2.69689288e+02 7.14366531e+02 2.14025447e-03],[ 322.05433846  683.25141907 -196.4478904 ],[ 327.03462124  627.97554016 -296.69262528],[ 332.35414982  551.05442047 -358.04107547],[ 355.90031862  472.17945099 -415.90047598],[ 207.34239578  502.3254776  -235.13108432],[ 210.83007753  344.88864899 -290.44219851],[ 212.96500862  241.21470451 -330.58035135],[ 213.97104621  158.49575043 -358.06283355],[ 205.41767478  481.39732361 -147.26769447],[ 214.93300438  329.72917557 -203.23927581],[ 236.58023357  220.89486122 -250.78137159],[ 258.11942875  136.88910484 -285.94854355],[226.58300757 468.11588287 -65.61949521],[ 242.46638954  346.7950058  -104.13742751],[ 274.37034845  262.85402298 -148.40778887],[ 301.68146968  203.59002113 -181.46878839],[248.36010933 458.20667267   2.04899663],[271.17580533 371.24756813 -23.32994789],[298.38634372 304.47584152 -55.59869662],[325.25625229 254.5161438  -82.70031989]
16,True,[2.75574703e+02 7.01510010e+02 2.07563295e-03],[ 320.73453069  682.40432739 -204.1728133 ],[ 325.69044828  625.90267181 -306.42016053],[ 334.08913136  548.74145508 -367.66925097],[ 357.67141342  470.44057846 -426.43022776],[ 214.93403435  495.33216476 -244.04832423],[ 214.88729954  350.83465576 -301.35484099],[ 216.72868967  247.03742981 -344.42521691],[ 215.49163342  165.32146454 -374.31685925],[ 215.84591031  469.55489159 -151.64225936],[ 216.59791589  322.33680725 -205.42652607],[ 237.71841288  217.87470818 -252.38303661],[ 255.38508832  138.17653656 -288.29819083],[239.00997698 453.33292007 -65.84774181],[ 238.82459879  334.9327755  -102.22925842],[ 261.07432723  246.47706985 -148.07240546],[ 277.60592937  182.02809334 -183.90987754],[262.71191239 441.76643372   5.47414804],[280.60950994 356.10503197 -17.28354938],[301.3512361  287.39284515 -49.93396774],[318.51813555 234.07331944 -79.20273274]
17,True,[2.69873845e+02 7.10634785e+02 2.24350708e-03],[ 323.38805079  685.10095596 -191.02291882],[ 333.85362267  629.37423706 -287.26162434],[ 334.62046623  554.62005615 -345.16318917],[ 357.54453421  471.03014946 -401.71327472],[ 213.56015325  501.8586731  -223.87209892],[ 208.56023669  359.3900013  -279.74163294],[ 212.6153183   255.9131813  -324.31869149],[ 220.4127574   175.1200676  -354.09771323],[ 215.14321446  478.82034302 -137.40843594],[ 217.63863444  336.68272018 -186.30807817],[ 239.82030451  229.00789261 -234.4805789 ],[ 266.97694659  146.91195488 -271.66059852],[236.33059502 466.68522835 -57.3570013 ],[242.84137845 347.08929062 -92.28735298],[ 274.41705108  264.48738098 -138.88565183],[ 304.54761386  203.39418411 -174.59856212],[258.40838313 461.25683784   9.84686874],[274.8163569  370.06796837 -12.30229899],[298.98288846 301.38673782 -42.5566189 ],[322.96907902 246.89964294 -69.09569442]
18,True,[2.75989877e+02 7.12374344e+02 2.09780488e-03],[ 322.47755885  684.52251434 -192.8463006 ],[ 330.81399322  627.28179932 -289.40308928],[ 339.84568834  550.52209854 -347.77821422],[ 364.32822704  470.84813118 -403.32163453],[ 217.19967484  496.23739243 -223.53903294],[ 216.33107364  348.36287498 -275.62217832],[ 221.02916121  247.59155273 -315.44635177],[ 226.32770419  168.74527931 -341.73934937],[ 217.8799367   475.93517303 -133.47362727],[ 220.6656307   329.20483589 -180.99611342],[ 240.62514424  222.84627914 -225.16107202],[ 261.55004382  141.82966232 -258.42619836],[239.47446048 463.37442398 -49.70470324],[246.21909499 343.81427765 -80.87218255],[ 272.09946156  257.02663422 -125.09022474],[ 295.51376224  195.2564621  -158.75270963],[260.79483569 454.22584534  20.47920696],[279.61163163 366.30907059   2.24139249],[304.37641382 297.06072807 -27.90370099],[328.699404   245.26554108 -54.14817944]
19,True,[2.78157477e+02 7.13040962e+02 1.82596969e-03],[ 324.93831396  688.63117218 -197.69115865],[ 329.68727231  627.82281876 -294.01165009],[ 336.59385324  548.70105743 -349.15386558],[ 362.5887394   473.10676575 -399.29162621],[ 221.00608349  499.86053467 -244.5570159 ],[ 222.91818738  344.80473518 -302.67242789],[ 221.99568987  244.03186798 -341.35816455],[ 220.92832088  164.77005959 -366.21174932],[ 216.64859354  475.96455574 -151.62988365],[ 224.74829614  323.98578644 -210.03396034],[ 244.72792625  219.34985161 -252.97932386],[ 261.64978981  139.84457016 -283.63883972],[235.93631029 462.38370895 -64.62341532],[ 250.01446366  342.0498848  -105.3043896 ],[ 276.1270237   256.3240242  -149.00782585],[ 296.81203723  197.24830627 -180.042395  ],[257.36059964 453.43019485   8.72813109],[282.46428967 368.66709709 -16.28876198],[307.27245927 303.12283516 -49.44456384],[330.38597703 254.81735229 -76.7789036 ]
20,True,[2.75163907e+02 7.02288780e+02 1.97610493e-03],[ 321.37320757  681.92287445 -203.50882173],[ 324.84526277  622.31014252 -306.99964643],[ 333.83994341  548.32317352 -370.06202817],[ 354.69055653  472.24479675 -429.56796169],[ 221.54787898  483.32811356 -243.80779445],[ 221.52629793  336.53265953 -297.75535941],[ 220.69252253  230.52971363 -335.38666606],[ 217.809062    152.75093079 -359.86907601],[ 222.10066617  463.09438705 -147.15161383],[ 227.31727839  314.77478027 -194.23513234],[ 246.05368853  212.71752834 -231.60236478],[ 262.08491921  134.25315857 -260.36176622],[245.45455277 450.18748283 -57.08023354],[255.31908989 332.1524334  -83.61353159],[ 280.6904912   250.45572281 -119.95702386],[ 297.68815398  193.2489109  -149.62870359],[268.63142967 440.8325386   17.8125266 ],[289.03220415 357.60263443   5.54767711],[309.06367064 289.13829803 -21.32063471],[323.99991632 238.12658787 -47.08660036]
21,True,[2.76081254e+02 7.03640213e+02 2.00022553e-03],[ 321.52506351  684.16385651 -204.74513769],[ 327.37254739  626.36089325 -307.39293337],[ 336.3623035   548.77178192 -369.59500194],[ 360.72890639  468.1341362  -428.80195498],[ 216.22345805  493.51318359 -242.92517602],[ 215.78250289  345.36952972 -298.24852109],[ 214.35593247  242.67059326 -339.71311212],[ 211.03039026  162.28760719 -368.42820883],[ 220.26164174  468.70159149 -148.92877579],[ 223.77322197  318.38047028 -198.75094771],[ 244.25349712  214.4696331  -243.37155461],[ 260.42303324  134.79915619 -278.63087654],[246.43006146 452.35064507 -61.6663523 ],[255.80314279 333.52678299 -91.9329071 ],[ 284.44314837  253.68198395 -133.74582857],[ 304.58501458  196.78504944 -167.99527466],[270.26470184 439.71250534  10.34323499],[293.82603049 353.08170319  -7.20221803],[317.00491905 283.34429741 -38.12896639],[336.29828453 229.69147682 -67.05368578]
22,True,[2.81340594e+02 7.16199417e+02 1.68842721e-03],[ 326.37695432  690.97709656 -200.155406  ],[ 330.05410194  627.95265198 -298.1158483 ],[ 339.12168503  546.06044769 -356.27393961],[ 362.61407018  466.02293015 -409.7190249 ],[ 221.75334156  490.46648026 -235.88374972],[ 219.26400483  335.3883934  -291.4308393 ],[ 218.39323103  234.20619965 -330.43847322],[ 214.6721971   154.52525139 -356.51257038],[ 224.74945486  466.79763794 -143.9651978 ],[ 231.16256833  311.20988846 -194.05371308],[ 249.26876664  207.55588531 -233.89504194],[ 261.31308675  129.67320442 -264.42027569],[248.26314747 452.68815994 -59.87756297],[258.21663201 327.30443001 -94.26481158],[ 280.41069388  241.18675232 -135.81937194],[ 294.40017343  181.01830959 -167.44607627],[273.57234836 443.92490387   9.46717154],[295.63935399 353.52836609 -11.20726671],[316.69866443 284.67979431 -42.9959929 ],[334.19975638 235.39622784 -70.91768414]
23,True,[2.78725473e+02 7.12508354e+02 1.89013349e-03],[ 329.20566559  684.26685333 -198.5272032 ],[ 335.93567133  624.59644318 -297.24005342],[ 340.63393593  546.17746353 -356.50140166],[ 365.30772686  463.98748398 -411.83374286],[ 217.61431754  490.91480255 -240.28939068],[ 215.92312574  335.58440208 -299.08945799],[ 215.22944212  233.40359688 -341.49360538],[ 214.06033158  150.44523239 -370.29879212],[ 218.03581595  468.59247208 -151.55693293],[ 225.40737927  315.98144531 -208.19704413],[ 246.51836514  209.59678173 -253.01485777],[ 267.52677262  129.90314484 -286.67335153],[240.22516251 455.54569244 -69.9812901 ],[ 254.88433063  331.03154182 -110.69700569],[ 283.65889192  247.56022453 -153.8171339 ],[ 310.7272625   189.86769676 -185.71972489],[264.38929617 446.81436539  -2.80610276],[288.18985105 353.74886513 -30.43233141],[313.58198047 285.68504333 -63.76572937],[341.39076948 236.26484871 -91.61114663]
24,True,[2.86363943e+02 7.12324162e+02 1.77142867e-03],[ 332.64656425  687.69493103 -203.05787265],[ 335.03805399  626.71142578 -303.28091383],[ 340.10659218  543.92040253 -363.36552858],[ 366.25526547  458.60014915 -419.79719996],[ 219.70018029  494.59270477 -245.3282851 ],[ 217.20036685  336.80251122 -305.43953419],[ 215.09245634  234.05479431 -348.17394733],[ 210.66079259  152.38140106 -377.10137844],[ 220.07669806  468.26079369 -154.8038274 ],[ 224.55892682  310.15468597 -210.98037243],[ 243.85488331  202.41920471 -256.34138167],[ 260.07979631  123.05462837 -290.87555766],[242.46984959 451.14603996 -71.94745123],[ 250.27836084  320.24806023 -113.38243067],[ 275.27762175  229.04125214 -160.82415283],[ 298.21298718  164.63519096 -196.71281755],[267.84456611 440.72459221  -3.5729775 ],[287.09029555 346.33701324 -33.46004985],[311.57875657 276.42371178 -70.7153517 ],[ 338.19960594  225.82822323 -102.02307969]
25,True,[2.81617624e+02 7.10223999e+02 1.78585197e-03],[ 330.39508581  683.61345291 -198.51806223],[ 337.79695272  623.14847946 -297.60994077],[ 342.60590672  542.0252037  -356.99755669],[ 366.34368181  457.28570938 -412.51606464],[ 219.82269824  488.95637512 -245.20253241],[ 215.96176565  329.80436325 -309.18552876],[ 213.82437229  225.68065166 -353.93858314],[ 212.44968653  142.33737946 -383.12006235],[ 220.35710692  465.34286499 -156.97932959],[ 229.0644908   307.42807388 -214.76603687],[ 249.35806811  202.16049671 -257.6221472 ],[ 269.26344395  123.3704567  -289.51155782],[242.82367587 450.73516846 -76.40982091],[ 254.79630053  320.9944725  -119.71877933],[ 278.74455929  231.01675987 -163.09344649],[ 303.04839849  166.69765949 -195.15740454],[268.5030055  440.8864975  -10.01566082],[291.44104242 346.05703354 -40.85073799],[314.77188349 276.70835495 -74.98633236],[ 340.76892614  224.91107941 -103.11610132]
26,True,[2.79413009e+02 6.89722939e+02 1.90621434e-03],[ 321.84219718  668.47211838 -201.80486798],[ 324.00847793  609.18039322 -305.49219131],[ 335.50675392  533.80044937 -370.85336566],[ 360.64863324  451.83162689 -432.69594312],[ 217.10718691  462.75249481 -228.51799607],[ 220.57634532  314.72711563 -279.71884489],[ 220.61855793  207.67285824 -317.4864614 ],[ 215.92920899  127.71543503 -343.63677621],[ 226.40553117  442.14002609 -135.81011832],[ 231.64391756  292.94005394 -179.29787278],[ 250.69163561  193.64868164 -219.68645275],[ 264.1680783   115.25865555 -252.33958483],[255.05313277 429.24871445 -50.85757971],[261.73252523 305.85219383 -77.82576978],[ 287.57251382  223.86282921 -118.12102497],[ 303.79959941  163.72944832 -151.66038036],[282.63281822 418.44257355  19.02516738],[300.94510674 331.75103188   5.65149218],[324.91806865 263.87666702 -23.11675854],[341.28899574 213.48588467 -51.29043996]
